    0.0000000000E+00           -Infinity           -Infinity
    0.3141592654E+00            Infinity           -Infinity
    0.6283185307E+00            Infinity           -Infinity
    0.9424777961E+00            Infinity           -Infinity
    0.1256637061E+01            Infinity           -Infinity
    0.1570796327E+01            Infinity           -Infinity
    0.1884955592E+01            Infinity           -Infinity
    0.2199114858E+01            Infinity           -Infinity
    0.2513274123E+01            Infinity           -Infinity
    0.2827433388E+01            Infinity           -Infinity
    0.3141592654E+01            Infinity           -Infinity
    0.3455751919E+01            Infinity           -Infinity
    0.3769911184E+01            Infinity           -Infinity
    0.4084070450E+01            Infinity           -Infinity
    0.4398229715E+01            Infinity           -Infinity
    0.4712388980E+01            Infinity           -Infinity
    0.5026548246E+01            Infinity           -Infinity
    0.5340707511E+01            Infinity           -Infinity
    0.5654866776E+01            Infinity           -Infinity
    0.5969026042E+01            Infinity           -Infinity
    0.6283185307E+01            Infinity           -Infinity
    0.6597344573E+01            Infinity           -Infinity
    0.6911503838E+01            Infinity           -Infinity
    0.7225663103E+01            Infinity           -Infinity
    0.7539822369E+01            Infinity           -Infinity
    0.7853981634E+01            Infinity            Infinity
    0.8168140899E+01            Infinity            Infinity
    0.8482300165E+01            Infinity            Infinity
    0.8796459430E+01            Infinity            Infinity
    0.9110618695E+01            Infinity            Infinity
    0.9424777961E+01            Infinity            Infinity
    0.9738937226E+01            Infinity            Infinity
    0.1005309649E+02            Infinity            Infinity
    0.1036725576E+02            Infinity            Infinity
    0.1068141502E+02            Infinity            Infinity
    0.1099557429E+02            Infinity            Infinity
    0.1130973355E+02            Infinity            Infinity
    0.1162389282E+02            Infinity            Infinity
    0.1193805208E+02            Infinity            Infinity
    0.1225221135E+02            Infinity            Infinity
    0.1256637061E+02            Infinity            Infinity
    0.1288052988E+02            Infinity            Infinity
    0.1319468915E+02            Infinity            Infinity
    0.1350884841E+02            Infinity            Infinity
    0.1382300768E+02            Infinity            Infinity
    0.1413716694E+02            Infinity            Infinity
    0.1445132621E+02            Infinity            Infinity
    0.1476548547E+02            Infinity            Infinity
    0.1507964474E+02            Infinity            Infinity
    0.1539380400E+02            Infinity            Infinity
    0.1570796327E+02                 NaN            Infinity
