     800      159.8000  0.10000E+01  0.26204E-28  0.32880E-24  0.84496E-24  0.12189E-11  0.50317E-17  0.61575E-06  0.46779E-23  0.45663E-24  0.20546E-05  0.33767E-28  0.15456E-23  0.15643E-22  0.13442E-11  0.16611E-11  0.82678E-23  0.52789E-24  0.31277E-06  0.31290E-06  0.57380E-23  0.69500E-24
     850      169.8000  0.10000E+01  0.32899E-28  0.31670E-24  0.81691E-24  0.13193E-11  0.54559E-17  0.55942E-06  0.41830E-23  0.40885E-24  0.16160E-05  0.45370E-28  0.11646E-23  0.11793E-22  0.90004E-12  0.11122E-11  0.52424E-23  0.33380E-24  0.35625E-06  0.32791E-06  0.40417E-23  0.48885E-24
     900      179.8000  0.10000E+01  0.58195E-28  0.41632E-24  0.10774E-23  0.11418E-11  0.46988E-17  0.34725E-06  0.26264E-23  0.25395E-24  0.16216E-05  0.45355E-28  0.73669E-24  0.74568E-23  0.81637E-12  0.10088E-11  0.51255E-23  0.32259E-24  0.53903E-06  0.51666E-06  0.64794E-23  0.78132E-24
     950      189.8000  0.10000E+01  0.10230E-27  0.72976E-24  0.18672E-23  0.30702E-12  0.12538E-17  0.52063E-06  0.34870E-23  0.33516E-24  0.30975E-05  0.37652E-28  0.16941E-23  0.17121E-22  0.15970E-11  0.19735E-11  0.71966E-23  0.45832E-24  0.29897E-06  0.28698E-06  0.41494E-23  0.50174E-24
    1000      199.8000  0.10000E+01  0.15308E-27  0.35176E-24  0.90534E-24  0.13201E-11  0.54916E-17  0.72480E-06  0.38303E-23  0.37498E-24  0.14034E-05  0.22716E-28  0.72473E-24  0.73282E-23  0.77663E-12  0.95970E-12  0.75013E-23  0.47703E-24  0.45741E-06  0.48465E-06  0.61979E-23  0.74667E-24
    1050      209.8000  0.10000E+01  0.19384E-27  0.64184E-24  0.16488E-23  0.37729E-12  0.15422E-17  0.47628E-06  0.39372E-23  0.38017E-24  0.29840E-05  0.21358E-28  0.14794E-23  0.14956E-22  0.11727E-11  0.14492E-11  0.37664E-23  0.23774E-24  0.52073E-06  0.45273E-06  0.65619E-23  0.79409E-24
    1100      219.8000  0.10000E+01  0.24971E-27  0.25603E-24  0.65408E-24  0.10054E-11  0.41244E-17  0.43638E-06  0.27760E-23  0.26194E-24  0.26717E-05  0.42487E-28  0.16337E-23  0.16501E-22  0.15310E-11  0.18920E-11  0.41000E-23  0.25878E-24  0.47353E-06  0.38068E-06  0.64402E-23  0.77893E-24
    1150      229.8000  0.10000E+01  0.34437E-27  0.65332E-24  0.16718E-23  0.96985E-12  0.40382E-17  0.77210E-06  0.33232E-23  0.31982E-24  0.18079E-05  0.82944E-28  0.13412E-23  0.13569E-22  0.13938E-11  0.17223E-11  0.50000E-23  0.31843E-24  0.43452E-06  0.34082E-06  0.62765E-23  0.75937E-24
    1200      239.8000  0.10000E+01  0.47490E-27  0.84569E-24  0.21680E-23  0.69189E-12  0.28959E-17  0.82216E-06  0.36934E-23  0.35877E-24  0.15677E-05  0.12065E-27  0.12796E-23  0.12962E-22  0.13237E-11  0.16358E-11  0.42827E-23  0.27233E-24  0.47501E-06  0.36717E-06  0.64835E-23  0.78412E-24
    1250      249.8000  0.10000E+01  0.59363E-27  0.81602E-24  0.20917E-23  0.59646E-12  0.24965E-17  0.80127E-06  0.35474E-23  0.34384E-24  0.16926E-05  0.12934E-27  0.14337E-23  0.14523E-22  0.13191E-11  0.16301E-11  0.42340E-23  0.26807E-24  0.51279E-06  0.46168E-06  0.56238E-23  0.67762E-24
