    1000      199.80      0.0000000000E+00      0.0000000000E+00     -0.1814057036E-03      0.0000000000E+00
    2000      399.80      0.0000000000E+00      0.0000000000E+00     -0.1687265703E-03      0.0000000000E+00
    3000      599.80      0.0000000000E+00      0.0000000000E+00     -0.1563284234E-03      0.0000000000E+00
    4000      799.80      0.0000000000E+00      0.0000000000E+00     -0.1442080782E-03      0.0000000000E+00
    5000      999.80      0.0000000000E+00      0.0000000000E+00     -0.1323555972E-03      0.0000000000E+00
    6000     1199.80      0.0000000000E+00      0.0000000000E+00     -0.1207689216E-03      0.0000000000E+00
    7000     1399.80      0.0000000000E+00      0.0000000000E+00     -0.1094386637E-03      0.0000000000E+00
    8000     1599.80      0.0000000000E+00      0.0000000000E+00     -0.9836159684E-04      0.0000000000E+00
    9000     1799.80      0.0000000000E+00      0.0000000000E+00     -0.8753101071E-04      0.0000000000E+00
   10000     1999.80      0.0000000000E+00      0.0000000000E+00     -0.7694088074E-04      0.0000000000E+00
   11000     2199.80      0.0000000000E+00      0.0000000000E+00     -0.6658792295E-04      0.0000000000E+00
   12000     2399.80      0.0000000000E+00      0.0000000000E+00     -0.5646362127E-04      0.0000000000E+00
   13000     2599.80      0.0000000000E+00      0.0000000000E+00     -0.4656667869E-04      0.0000000000E+00
   14000     2799.80      0.0000000000E+00      0.0000000000E+00     -0.3688842918E-04      0.0000000000E+00
   15000     2999.80      0.0000000000E+00      0.0000000000E+00     -0.2742667806E-04      0.0000000000E+00
   16000     3199.80      0.0000000000E+00      0.0000000000E+00     -0.1817543395E-04      0.0000000000E+00
   17000     3399.80      0.0000000000E+00      0.0000000000E+00     -0.9129411092E-05      0.0000000000E+00
   18000     3599.80      0.0000000000E+00      0.0000000000E+00     -0.2862874390E-06      0.0000000000E+00
   19000     3799.80      0.0000000000E+00      0.0000000000E+00      0.8361840922E-05      0.0000000000E+00
   20000     3999.80      0.0000000000E+00      0.0000000000E+00      0.1681558602E-04      0.0000000000E+00
   21000     4199.80      0.0000000000E+00      0.0000000000E+00      0.2508244016E-04      0.0000000000E+00
   22000     4399.80      0.0000000000E+00      0.0000000000E+00      0.3316475874E-04      0.0000000000E+00
   23000     4599.80      0.0000000000E+00      0.0000000000E+00      0.4106662759E-04      0.0000000000E+00
   24000     4799.80      0.0000000000E+00      0.0000000000E+00      0.4879391825E-04      0.0000000000E+00
   25000     4999.80      0.0000000000E+00      0.0000000000E+00      0.5634732208E-04      0.0000000000E+00
   26000     5199.80      0.0000000000E+00      0.0000000000E+00      0.6373437610E-04      0.0000000000E+00
   27000     5399.80      0.0000000000E+00      0.0000000000E+00      0.7095567351E-04      0.0000000000E+00
   28000     5599.80      0.0000000000E+00      0.0000000000E+00      0.7801656777E-04      0.0000000000E+00
   29000     5799.80      0.0000000000E+00      0.0000000000E+00      0.8492090458E-04      0.0000000000E+00
   30000     5999.80      0.0000000000E+00      0.0000000000E+00      0.9167003355E-04      0.0000000000E+00
   31000     6199.80      0.0000000000E+00      0.0000000000E+00      0.9827076605E-04      0.0000000000E+00
   32000     6399.80      0.0000000000E+00      0.0000000000E+00      0.1047228633E-03      0.0000000000E+00
   33000     6599.80      0.0000000000E+00      0.0000000000E+00      0.1110322517E-03      0.0000000000E+00
   34000     6799.80      0.0000000000E+00      0.0000000000E+00      0.1172012549E-03      0.0000000000E+00
   35000     6999.80      0.0000000000E+00      0.0000000000E+00      0.1232318074E-03      0.0000000000E+00
   36000     7199.80      0.0000000000E+00      0.0000000000E+00      0.1291298384E-03      0.0000000000E+00
   37000     7399.80      0.0000000000E+00      0.0000000000E+00      0.1348947470E-03      0.0000000000E+00
   38000     7599.80      0.0000000000E+00      0.0000000000E+00      0.1405325468E-03      0.0000000000E+00
   39000     7799.80      0.0000000000E+00      0.0000000000E+00      0.1460445734E-03      0.0000000000E+00
   40000     7999.80      0.0000000000E+00      0.0000000000E+00      0.1514330409E-03      0.0000000000E+00
   41000     8199.80      0.0000000000E+00      0.0000000000E+00      0.1567031613E-03      0.0000000000E+00
   42000     8399.80      0.0000000000E+00      0.0000000000E+00      0.1618541159E-03      0.0000000000E+00
   43000     8599.80      0.0000000000E+00      0.0000000000E+00      0.1668917471E-03      0.0000000000E+00
   44000     8799.80      0.0000000000E+00      0.0000000000E+00      0.1718168298E-03      0.0000000000E+00
   45000     8999.80      0.0000000000E+00      0.0000000000E+00      0.1766315233E-03      0.0000000000E+00
   46000     9199.80      0.0000000000E+00      0.0000000000E+00      0.1813405977E-03      0.0000000000E+00
   47000     9399.80      0.0000000000E+00      0.0000000000E+00      0.1859430086E-03      0.0000000000E+00
   48000     9599.80      0.0000000000E+00      0.0000000000E+00      0.1904442987E-03      0.0000000000E+00
   49000     9799.80      0.0000000000E+00      0.0000000000E+00      0.1948450165E-03      0.0000000000E+00
   50000     9999.80      0.0000000000E+00      0.0000000000E+00      0.1991469660E-03      0.0000000000E+00
   51000    10199.80      0.0000000000E+00      0.0000000000E+00      0.2033547471E-03      0.0000000000E+00
   52000    10399.80      0.0000000000E+00      0.0000000000E+00      0.2074670563E-03      0.0000000000E+00
   53000    10599.80      0.0000000000E+00      0.0000000000E+00      0.2114890364E-03      0.0000000000E+00
   54000    10799.80      0.0000000000E+00      0.0000000000E+00      0.2154213032E-03      0.0000000000E+00
   55000    10999.80      0.0000000000E+00      0.0000000000E+00      0.2192650491E-03      0.0000000000E+00
   56000    11199.80      0.0000000000E+00      0.0000000000E+00      0.2230249140E-03      0.0000000000E+00
