      48        9.4000          NaN  0.67598E+00  0.76163E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      49        9.6000          NaN  0.14016E+00  0.11362E+01          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      50        9.8000          NaN  0.21522E+00  0.12740E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      51       10.0000          NaN  0.51520E+00  0.31985E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      52       10.2000          NaN -0.31129E+00  0.10252E+01          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      53       10.4000          NaN -0.23869E+00  0.58468E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      54       10.6000          NaN  0.54199E+00 -0.53735E-01          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      55       10.8000          NaN  0.18900E+00  0.25584E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      56       11.0000          NaN  0.25487E+00  0.25612E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      57       11.2000          NaN -0.70638E+00 -0.63644E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      58       11.4000          NaN -0.10746E+00 -0.28620E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      59       11.6000          NaN  0.60626E+00 -0.15561E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      60       11.8000          NaN -0.25824E-01  0.19564E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      61       12.0000          NaN -0.17034E+00  0.40204E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      62       12.2000          NaN -0.40033E+00 -0.43508E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      63       12.4000          NaN -0.22473E+00  0.61566E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      64       12.6000          NaN -0.17979E+00  0.94448E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      65       12.8000          NaN  0.70506E-01  0.40033E-01          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      66       13.0000          NaN  0.47455E-01  0.35171E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      67       13.2000          NaN  0.53607E-01 -0.18642E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
