       2        0.2000          NaN  0.48451E-01  0.50418E-01          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
       3        0.4000          NaN  0.13025E+00  0.13129E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
       4        0.6000          NaN  0.10658E+00  0.13433E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
       5        0.8000          NaN  0.81635E-01  0.11978E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
       6        1.0000          NaN  0.15215E+00  0.12917E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
       7        1.2000          NaN  0.89874E-01  0.38747E-01          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
       8        1.4000          NaN  0.72703E-01  0.19128E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
       9        1.6000          NaN  0.64074E-01  0.70445E-01          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      10        1.8000          NaN  0.68994E-01  0.13282E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      11        2.0000          NaN  0.64320E-01  0.16053E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      12        2.2000          NaN  0.14258E+00  0.86650E-01          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      13        2.4000          NaN  0.70677E-01  0.11472E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      14        2.6000          NaN  0.10782E+00  0.12806E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      15        2.8000          NaN  0.13400E+00  0.11226E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      16        3.0000          NaN  0.84373E-01  0.12683E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      17        3.2000          NaN  0.81297E-01  0.12291E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      18        3.4000          NaN  0.15268E+00  0.13353E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      19        3.6000          NaN  0.10518E+00  0.10138E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      20        3.8000          NaN  0.98596E-01  0.84607E-01          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      21        4.0000          NaN  0.12293E+00  0.11484E+00          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
      22        4.2000          NaN  0.11762E+00  0.89565E-01          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
